gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.83738494,20250904135256899,None,9,-5,-2,-5,-3,-1,-2,-5,1757008376899025201
0,0.837498665,20250904135256899,None,-1,17,2,-1,-6,-2,-6,-10,1757008376899174690
0,0.843559266,20250904135256905,None,-2,-13,-6,2,-1,-1,-1,-6,1757008376905069351
0,0.843738795,20250904135256905,None,-2,-1,1,1,1,1,-1,-6,1757008376905269622
0,0.858578206,20250904135256920,None,-4,-2,-2,-3,-2,-1,-3,-4,1757008376920055150
0,0.858758212,20250904135256920,None,1,-1,-1,-1,-1,-2,0,-1,1757008376920277833
0,0.866142273,20250904135256928,None,3,1,-2,-1,1,-2,0,0,1757008376927576780
0,0.866311312,20250904135256928,None,-1,-5,0,4,-3,1,-3,4,1757008376927767753
0,0.873756648,20250904135256935,None,-1,-2,-1,-3,0,-4,-4,-5,1757008376935035705
0,0.874119521,20250904135256936,None,0,-2,-3,-3,-3,1,2,-3,1757008376935256242
0,0.88878131,20250904135256950,None,1,-4,-5,1,2,1,1,1,1757008376950101137
0,0.888953209,20250904135256950,None,-3,-5,2,-3,-3,-4,-1,-4,1757008376950300693
0,0.896172762,20250904135256958,None,-1,11,3,5,-2,-3,0,-3,1757008376957606077
0,0.896399022,20250904135256958,None,1,-4,2,-1,1,1,2,11,1757008376957777976
0,0.903660775,20250904135256965,None,-3,-1,-5,-7,5,0,-3,-15,1757008376965072631
0,0.903823615,20250904135256965,None,-3,-17,-4,-2,-6,-2,-6,-5,1757008376965262889
0,0.918694735,20250904135256980,None,8,29,4,2,-4,-1,-2,2,1757008376980082750
0,0.918872357,20250904135256980,None,2,-6,-1,-3,-4,0,2,-2,1757008376980285882
0,0.926108361,20250904135256988,None,-2,-9,-5,-2,-3,1,1,6,1757008376987553119
0,0.926275254,20250904135256988,None,-4,-3,0,5,3,-1,0,1,1757008376987733364
0,0.933531046,20250904135256995,None,-1,-3,-1,-1,-2,-2,-4,-1,1757008376994928121
0,0.933710099,20250904135256995,None,4,4,3,-4,-1,-3,-3,-3,1757008376995100498
0,0.948573828,20250904135257010,None,8,-4,0,3,4,-1,-5,-7,1757008377009922742
0,0.948770762,20250904135257010,None,-2,-4,-2,0,-2,-3,0,-7,1757008377010075569
0,0.956318379,20250904135257018,None,-3,1,0,-14,-5,-3,0,-2,1757008377017636299
0,0.956547738,20250904135257018,None,-1,-1,-2,1,-2,-1,0,3,1757008377017819166
0,0.963454009,20250904135257025,None,-2,-1,1,0,-2,-1,-2,0,1757008377024883985
0,0.963657141,20250904135257025,None,3,-2,-3,-2,-1,-3,1,-3,1757008377024992227
0,0.97867632,20250904135257040,None,-1,0,-2,2,0,-1,-3,1,1757008377040075302
0,0.978879452,20250904135257040,None,0,-3,4,-2,-1,-3,1,-6,1757008377040278434
0,0.986229659,20250904135257048,None,-1,4,-9,-1,-1,-4,-3,0,1757008377047626495
0,0.986456395,20250904135257048,None,-3,-6,12,2,-1,-1,0,0,1757008377047815322
0,0.993585587,20250904135257055,None,-6,-14,-5,-4,0,0,1,0,1757008377055074453
0,0.993761301,20250904135257055,None,1,21,7,2,-2,1,1,-1,1757008377055293798
0,1.008559704,20250904135257070,None,-4,-2,-3,-1,0,0,1,-1,1757008377070071697
0,1.00872016,20250904135257070,None,-2,-11,-7,0,-2,-3,-7,-12,1757008377070271968
0,1.016029597,20250904135257077,None,-1,-2,2,1,-2,0,0,0,1757008377077579021
