gt,time_elapsed,current_time,current_task,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg_timer_stamp
0,0.671390056,20250904135910402,None,-3,-3,-4,-22,-9,-3,-4,-3,1757008750402275562
0,0.67155528,20250904135910403,None,-3,-3,-2,0,1,-2,-1,0,1757008750402452468
0,0.687041759,20250904135910418,None,2,-1,-3,4,-1,1,0,2,1757008750417733430
0,0.68726015,20250904135910418,None,0,-1,1,5,1,2,0,-5,1757008750417926549
0,0.693983554,20250904135910425,None,-2,-2,0,-2,-2,-3,-1,-7,1757008750424729108
0,0.694160461,20250904135910425,None,-3,-2,3,2,1,3,5,0,1757008750424916982
0,0.701804161,20250904135910433,None,1,0,1,0,-4,-1,-4,3,1757008750432446479
0,0.701990842,20250904135910433,None,-1,-1,0,2,0,0,1,2,1757008750432645082
0,0.716791629,20250904135910448,None,1,-2,-2,-4,3,2,-4,-2,1757008750447419643
0,0.716995239,20250904135910448,None,-1,0,-3,-1,0,-4,-3,-2,1757008750447630643
0,0.723694086,20250904135910455,None,-3,3,0,2,-1,-3,-2,-1,1757008750454656362
0,0.723836422,20250904135910455,None,-1,1,2,2,1,3,-1,-1,1757008750454813241
0,0.731665849,20250904135910463,None,-3,-2,-2,-3,-7,-5,1,-3,1757008750462430477
0,0.731895685,20250904135910463,None,-1,-2,-1,-1,-2,-5,-10,2,1757008750462627410
0,0.746600151,20250904135910478,None,0,-2,-1,-3,-2,2,1,-3,1757008750477330684
0,0.746793508,20250904135910478,None,-5,3,-3,3,0,1,1,-1,1757008750477522611
0,0.753798961,20250904135910485,None,2,0,-1,-2,5,-4,0,1,1757008750484682559
0,0.753965139,20250904135910485,None,1,0,-2,1,1,4,2,5,1757008750484862804
0,0.761429071,20250904135910492,None,-2,1,0,0,1,-2,2,-3,1757008750492197990
0,0.761592865,20250904135910493,None,-1,1,-1,2,-1,1,-2,-4,1757008750492400884
0,0.776610374,20250904135910508,None,0,-1,-4,4,-1,4,1,-1,1757008750507315874
0,0.7768085,20250904135910508,None,-2,-1,-1,-4,-2,-3,-1,-4,1757008750507488489
0,0.783920526,20250904135910515,None,-1,1,0,2,-1,-3,3,0,1757008750514683485
0,0.784088611,20250904135910515,None,0,-4,-1,-4,0,-1,-4,1,1757008750514859437
0,0.791275739,20250904135910522,None,-1,0,0,-2,1,0,-1,-3,1757008750522056341
0,0.79146552,20250904135910522,None,3,-1,-4,0,-3,-6,-2,0,1757008750522179365
0,0.806224823,20250904135910537,None,1,0,0,0,-1,0,-1,1,1757008750537009477
0,0.806401252,20250904135910537,None,-3,-1,-1,-3,-1,2,-3,3,1757008750537139177
0,0.813633918,20250904135910545,None,-1,-1,-1,3,-3,-7,0,-3,1757008750544495820
0,0.813844442,20250904135910545,None,0,1,0,0,-1,-6,-3,-3,1757008750544609546
0,0.821196794,20250904135910552,None,2,1,-2,-2,0,-1,0,-1,1757008750552009820
0,0.821374654,20250904135910552,None,-1,1,-1,0,1,4,0,2,1757008750552115917
0,0.836293935,20250904135910567,None,-1,-2,1,2,2,-3,-4,-1,1757008750567092895
0,0.83648324,20250904135910567,None,-1,-1,-1,-2,-7,0,-2,-2,1757008750567245244
0,0.843839883,20250904135910575,None,-1,3,2,9,1,3,0,0,1757008750574723482
0,0.843992233,20250904135910575,None,-3,-2,-2,-14,-2,-1,-1,1,1757008750574899673
0,0.851475715,20250904135910582,None,1,-4,-1,-3,-3,-3,-5,0,1757008750582327604
0,0.85165286,20250904135910583,None,-2,-1,1,4,4,2,-1,-1,1757008750582529067
0,0.866560459,20250904135910598,None,1,-6,-1,0,5,-1,3,-2,1757008750597274780
0,0.866813898,20250904135910598,None,0,-2,1,-1,-6,-2,-2,3,1757008750597469329
0,0.873829603,20250904135910605,None,0,-4,-4,0,6,2,-1,-8,1757008750604719161
0,0.873989582,20250904135910605,None,-4,-3,-3,-3,-1,-2,4,2,1757008750604894876
0,0.881385564,20250904135910612,None,-1,0,2,1,-4,-3,0,-2,1757008750612139701
0,0.881547689,20250904135910613,None,3,2,0,2,-1,-1,1,-2,1757008750612350463
0,0.896327495,20250904135910627,None,0,-2,1,2,3,0,-2,0,1757008750627200841
0,0.89650917,20250904135910627,None,-4,-5,1,-3,-14,-7,-7,-3,1757008750627410173
0,0.903832435,20250904135910635,None,-1,0,-2,2,0,2,0,2,1757008750634706974
0,0.903982162,20250904135910635,None,-4,0,-1,-7,-7,0,0,3,1757008750634888410
0,0.911847353,20250904135910643,None,-2,-3,-1,1,2,-3,1,-5,1757008750642457246
0,0.912058591,20250904135910643,None,0,-1,-1,-3,2,-2,0,-8,1757008750642668962
0,0.926537275,20250904135910658,None,3,0,-1,-2,1,7,1,-1,1757008750657311201
0,0.926717281,20250904135910658,None,0,1,-1,0,-1,-6,-3,2,1757008750657498598
0,0.934021473,20250904135910665,None,0,4,-3,-2,-3,-7,0,0,1757008750664769887
0,0.93418312,20250904135910665,None,1,1,-4,-2,-1,9,1,1,1757008750664949178
0,0.941567421,20250904135910673,None,-3,-2,-4,0,1,-7,-3,0,1757008750672315120
0,0.941744566,20250904135910673,None,4,-1,-1,1,0,2,0,-1,1757008750672489643
0,0.956683874,20250904135910688,None,-4,-2,0,-3,-5,1,-2,-1,1757008750687418937
